object,x,z,area,grade
Road 1098489687 ,84.90277,-403.3536,4.157448,0.008789025
Road 1098489687 ,86.56324,-404.5603,4.157456,0.007249583
Road 1098489687 ,84.36126,-404.6292,4.157279,0.007769413
Road 1098489687 ,86.02173,-405.8359,4.157279,0.007215976
Road 1098489687 ,83.81973,-405.9048,4.157363,0.006970186
Road 1098489687 ,85.4802,-407.1115,4.157363,0.007231269
Road 1098489687 ,83.27821,-407.1804,4.157372,0.007158329
Road 1098489687 ,84.93868,-408.3871,4.157364,0.007290989
Road 1098489687 ,82.73669,-408.456,4.157364,0.007383183
Road 1098489687 ,84.39718,-409.6627,4.157171,0.007437866
Road 1098489687 ,82.1952,-409.7316,4.157423,0.007386974
Road 1098489687 ,83.85567,-410.9383,4.157432,0.007195034
Road 1098489687 ,81.65369,-411.0072,4.157077,0.007374862
Road 1098489687 ,83.31417,-412.2139,4.157471,0.005268668
Road 1098489687 ,81.11217,-412.2827,4.157294,0.006602935
Road 1098489687 ,82.77262,-413.4895,4.157294,0.005191046
Road 1098489687 ,80.57063,-413.5583,4.157387,0.004796861
Road 1098489687 ,82.2311,-414.7651,4.157177,0.005211692
Road 1098489687 ,80.02911,-414.834,4.157448,0.004819687
Road 1098489687 ,81.6896,-416.0407,4.157255,0.005234342
Road 955217469 독배로,-296.7159,-333.4465,7.292678,0.003216833
Road 955217469 독배로,-300.0799,-333.6222,7.292097,0.003037581
Road 955217469 독배로,-297.0013,-332.0162,7.292605,0.003435878
